participant,sex,age,relat,income,poli_soc,poli_econ,trust_gen,DS1,DS2,DS3,DS4,DS5,DS6,DS7,relationship_category,part_leng,part_sex,part_age,HH1,HH2,HH3,HH4,HH5,HH6,HH7,HH8,HH9,HH10,comf1,comf2,comf3,comf4,comf5,comf6,comf7,comf8,comf9,comf10,37_54,37_46,37_39,37_31,37_24,37_17,37_9,37_2,37_-6,37_-13,23_33,23_29,23_24,23_20,23_15,23_10,23_6,23_1,23_-3,23_-8,75_109,75_94,75_79,75_64,75_49,75_34,75_19,75_4,75_-11,75_-26,19_28,19_24,19_20,19_16,19_12,19_9,19_5,19_1,19_-3,19_-7,46_67,46_58,46_48,46_39,46_30,46_21,46_12,46_2,46_-7,46_-16,68_99,68_85,68_71,68_58,68_44,68_31,68_17,68_3,68_-10,68_-24,English_exclude
268,1,30,2,2,7,7,2,6,5,2,6,3,5,6,3,5,1,50,4,2,3,5,5,4,4,4,5,2,4,2,4,1,3,5,5,3,3,4,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
269,1,27,1,16,1,2,6,3,2,2,2,2,3,4,3,6,1,27,4,3,2,5,4,4,2,4,5,5,2,5,5,2,5,4,5,3,4,3,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0
270,1,35,1,20,1,1,1,2,1,1,1,1,1,1,1,5,2,33,5,5,4,5,5,5,5,5,5,4,7,7,7,7,7,7,7,7,7,7,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
271,2,57,1,10,6,7,9,7,1,3,6,3,4,4,4,13,2,88,2,2,2,1,4,2,2,1,2,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,0
272,2,57,1,19,2,3,6,6,6,4,7,4,5,7,4,12,1,42,1,3,1,2,1,2,1,2,1,4,1,1,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
273,2,34,1,6,3,3,3,7,6,4,4,6,5,4,2,13,2,37,5,5,5,5,5,5,5,5,5,5,7,4,7,7,7,7,7,7,7,7,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,1.35,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
274,1,38,2,3,5,2,4,6,5,4,3,5,3,7,2,13,2,39,5,3,5,4,4,4,1,5,5,3,5,3,6,2,6,5,7,3,5,3,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0
275,2,28,1,20,2,2,11,7,4,7,4,7,4,4,1,6,2,28,1,1,1,3,2,1,1,1,3,1,7,7,7,7,7,7,7,7,7,7,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
276,2,32,1,20,3,4,7,5,7,3,7,7,5,6,3,4,2,34,2,3,3,2,4,4,4,4,4,5,3,2,4,1,1,6,4,1,1,1,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0
277,2,45,2,3,3,3,1,2,6,6,7,4,3,3,3,9,2,58,4,3,2,2,2,4,2,2,2,3,3,2,7,2,5,5,6,4,3,3,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
