participant,sex,age,relat,income,poli_soc,poli_econ,trust_gen,HH1,HH2,HH3,HH4,HH5,HH6,HH7,HH8,HH9,HH10,AG1,AG2,AG3,AG4,AG5,AG6,AG7,AG8,AG9,AG10,DS1,DS2,DS3,DS4,DS5,DS6,DS7,target_sex,target_category,relate_length,partner_age,partner_proximity,partner_height,partner_weight,partner_attractive,partner_hygiene,comf1,comf2,comf3,comf4,comf5,comf6,comf7,comf8,comf9,comf10,75_109,75_94,75_79,75_64,75_49,75_34,75_19,75_4,75_-11,75_-26,19_28,19_24,19_20,19_16,19_12,19_9,19_5,19_1,19_-3,19_-7,46_67,46_58,46_48,46_39,46_30,46_21,46_12,46_2,46_-7,46_-16,English_exclude
243,1,31,1,30,3,4,5,2,3,4,3,2,3,3,3,3,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,3,5,5,2,2,5,28,3,8,6,6,9,5,4,5,3,4,3,5,2,5,4,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0.55,0.35,0.15,-0.05,-0.25,0
244,1,35,1,10,4,4,9,4,1,2,1,4,4,4,4,2,5,2,2,1,5,2,2,2,5,2,2,4,4,2,3,4,2,2,2,2,13,32,3,5,4,10,10,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
245,1,24,1,13,3,3,8,3,1,4,3,4,2,4,4,5,1,3,4,4,4,3,4,2,2,4,4,5,4,2,5,4,4,5,2,2,10,23,1,6,3,9,10,5,4,6,3,6,4,7,3,5,6,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
246,1,25,2,7,2,1,6,4,1,4,4,4,2,5,3,4,1,2,2,2,1,2,2,2,1,2,2,4,3,3,5,4,2,6,2,2,4,23,2,9,4,8,10,7,2,7,2,5,4,6,2,6,6,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
247,1,26,2,11,2,2,9,5,4,2,3,5,5,3,4,5,4,4,4,4,5,4,4,5,5,2,5,4,2,4,2,2,3,4,2,2,5,22,4,5,3,7,9,6,5,6,2,6,4,6,3,1,7,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,1.55,1.35,1.15,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0
248,2,42,1,17,7,7,9,4,5,2,5,5,3,2,2,3,5,4,2,5,5,3,5,4,4,4,5,6,5,5,5,5,6,7,2,2,10,48,3,10,6,10,10,5,1,5,1,4,3,4,4,2,5,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.45,0
249,1,52,1,10,5,6,8,4,5,3,3,4,4,3,4,4,5,4,4,4,5,5,4,5,5,4,5,4,2,2,2,2,3,2,2,2,5,45,3,6,4,6,9,6,7,6,3,4,6,7,6,6,7,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
250,2,28,1,9,4,4,8,2,4,2,4,3,3,2,5,2,5,3,4,4,5,2,4,4,4,2,2,4,4,4,2,3,5,4,2,2,4,30,2,6,13,5,6,1,1,1,1,1,3,4,1,1,5,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0
251,2,37,1,7,2,1,1,5,1,4,5,5,5,3,5,5,5,1,4,4,3,1,4,1,2,4,5,6,6,7,4,7,3,7,2,2,4,55,1,4,1,6,6,1,1,1,1,1,1,1,1,1,1,0,0,0,0.95,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0,0.35,0.15,-0.05,-0.25,0
252,1,24,2,9,4,4,7,4,3,3,4,4,3,3,3,4,3,4,4,4,4,3,4,4,3,4,4,3,4,2,4,4,3,3,2,2,6,26,1,11,4,9,9,5,3,3,5,3,5,5,3,5,5,0,0,0,0.95,0,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0,0.75,0.55,0.35,0.15,-0.05,-0.25,0,0,0,0.95,0.75,0.55,0.35,0.15,-0.05,-0.25,0
253,1,39,1,18,2,2,8,4,4,2,4,4,4,4,3,2,5,2,2,2,2,4,4,3,2,3,2,6,3,4,3,4,5,3,2,2,6,32,1,4,7,3,6,1,2,4,2,2,4,3,2,2,4,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0,0,0,0,0,0,0.35,0.15,-0.05,-0.25,0
254,2,37,1,8,7,7,9,4,5,4,5,4,5,5,4,4,5,3,4,4,4,2,3,2,5,4,4,4,5,5,4,4,7,5,2,2,6,38,2,8,10,7,10,1,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
255,1,45,1,7,5,7,11,5,5,3,1,5,5,3,1,5,5,5,5,5,5,5,5,5,5,5,5,2,4,2,1,2,1,3,2,2,13,45,1,13,3,11,11,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.45,0,0,0,0,0,0,0,0,-0.05,-0.25,0
256,2,25,1,3,2,2,3,1,3,2,2,3,3,2,2,2,2,1,3,4,4,1,2,2,3,2,2,4,5,4,3,3,4,5,2,2,5,27,4,8,6,5,8,1,2,2,1,1,2,4,3,2,2,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0,0,0,0,0,0,0,0.15,-0.05,-0.25,0
257,2,35,1,13,6,6,7,5,5,4,5,4,4,4,4,4,5,2,4,5,2,4,4,5,2,4,4,7,5,4,6,7,6,6,2,2,3,30,1,9,9,7,8,2,2,6,3,2,6,6,5,3,4,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0,0,0,0,0,0,0,0,-0.05,-0.25,0
